ticker,valor_actual,variacion,volumen
ANGO,$8.72,0.24,214685
ANIK,$25.87,0.04,58679
ANIP,$39.14,1.10,50963
ANIX,$3.91,-0.08,75275
ANNX,$5.265,55,364160
ANPC,$5.50,-0.20,14710
ANSS,$301.68,-1.28,714620
ANTE,$1.4628,-1.272,6505
ANTX,$5.70,0.38,22659
ANVS,$14.34,0.28,34264
ANY,$0.427,109,747630
ANZU,$10.09,0.02,24959
ANZUU,$10.15,0.04,1800
ANZUW,$0.0512,12,593
AOD,$8.19,0.12,220075
AOGO,$10.42,0.00,303
AOGOU,$10.49,0.01,603
AOMR,$7.96,0.22,137725
AON,$328.40,7.70,1150386
AORT,$15.19,1.84,462477
AOS,$70.38,1.19,768860
AOSL,$24.10,0.74,445046
AOUT,$8.53,-0.07,13206
AP,$2.98,-0.01,9146
APA,$33.22,0.96,7296915
APAC,$10.63,0.00,1
APACW,$0.0675,-24,153
APAM,$32.69,0.90,477662
APCA,$10.63,0.00,1
APCX,$1.96,0.01,64674
APCXW,$0.39,0.04,4664
APD,$296.70,5.63,730866
APDN,$1.015,-15,45599
APE,$1.56,0.00,10735410
APEI,$5.34,0.21,150527
APG,$22.49,0.74,2042406
APGB,$10.20,0.00,27465
APGN,$0.40,-0.05,166641
APGNW,$0.0396,35,3234
APH,$75.71,1.13,2294309
API,$3.36,0.23,570616
APLD,$3.39,0.15,485415
APLE,$15.49,0.34,1332158
APLM,$4.40,0.47,84794
APLMW,$0.0815,-27,51600
APLS,$93.18,8.81,4471740
APLT,$1.58,0.07,195482
APM,$5.35,0.54,613360
APMI,$10.16,0.00,27982
APMIU,$10.18,0.03,224
APMIW,$0.1299,0.00,34
APO,$60.53,2.49,2208664
APOG,$40.07,0.73,104478
APP,$17.16,0.54,1757216
APPF,$137.14,3.25,72912
APPH,$0.483,246,1333445
APPHW,$0.048,6,80130
APPN,$33.96,0.23,326753
APPS,$11.84,0.33,910044
APRE,$3.8999,599,7104
APRN,$0.4962,-238,3055804
APT,$3.96,-0.04,32293
APTM,$10.28,0.01,1045
APTMU,$10.29,-0.01,1523
APTMW,$0.1101,0.00,408
APTO,$0.54,179,304556
APTV,$93.42,1.37,2561686
APTV^A,$104.68,01.04,195815
APTX,$0.08,-382,30935155
APVO,$1.72,-0.01,40925
APWC,$1.66,-0.01,3297
APXI,$10.56,-0.01,3871
APXIU,$10.57,0.01,5654
APXIW,$0.05,-51,1258
APYX,$3.44,-0.10,66707
AQB,$0.5449,97,164640
AQMS,$1.05,-0.02,216566
AQN,$8.83,0.12,3319182
AQNA,$23.23,0.22,13197
AQNB,$22.92,0.70,9231
AQNU,$31.02,0.39,33942
AQST,$2.04,0.08,1779226
AQU,$10.29,0.00,1
AQUA,$51.52,0.93,4528772
AQUNR,$0.2781,-119,3402
AR,$21.10,1.00,5401490
ARAV,$1.60,0.01,124583
ARAY,$3.54,0.03,444318
ARBB,$3.8701,-399,46143
ARBE,$1.97,0.00,110212
ARBEW,$0.20,0.00,12393
ARBG,$10.15,0.03,23840
ARBGW,$0.10,0.00,3912
ARBK,$1.42,0.01,92269
ARBKL,$7.05,0.19,10042
ARC,$2.96,-0.04,150096
ARCB,$87.82,02.09,143466
ARCC,$18.21,0.56,2378093
ARCE,$12.15,0.21,22657
ARCH,$123.85,5.27,622894
ARCO,$8.31,0.35,855190
ARCT,$27.10,0.52,424747
ARDC,$12.07,0.08,66450
ARDS,$0.1768,-32,238805
ARDX,$4.61,-0.09,5379359
ARE,$123.64,02.09,721607
AREB,$0.1396,32,158398
AREBW,$0.015,13,2235
AREC,$1.44,0.12,236314
AREN,$4.03,-0.15,24945
ARES,$81.95,2.42,846213
ARGD,$21.9952,2.952,14490
ARGO,$29.40,-0.02,176613
ARGO^A,$21.59,0.22,13681
ARGX,$404.16,8.75,332763
ARHS,$8.19,0.58,1065344
ARI,$9.52,0.21,1251150
ARIS,$6.85,0.00,352464
ARIZ,$10.47,0.02,504476
ARIZR,$0.1082,0.00,201
ARIZU,$10.51,0.00,114
ARIZW,$0.037,-35,231
ARKO,$8.15,0.08,186954
ARKOW,$1.26,0.02,600
ARKR,$18.17,0.53,2610
ARL,$18.79,0.67,5282
ARLO,$6.69,0.20,783100
ARLP,$20.00,0.07,739266
ARMK,$34.79,01.08,1446980
ARMP,$1.48,-0.06,27793
ARNC,$29.05,0.12,7671838
AROC,$9.92,-0.03,1283399
AROW,$20.75,0.83,60766
ARQQ,$1.14,0.05,542377
ARQQW,$0.3499,-197,15300
ARQT,$14.56,0.08,836033
ARR,$5.09,0.16,4596621
ARR^C,$19.65,0.13,3483
ARRW,$10.31,0.01,677
ARRWU,$10.4301,-299,1900
ARRWW,$0.2099,-1,50904
ARRY,$18.37,0.68,2614889
ARTE,$10.39,0.00,43632
ARTEU,$10.40,0.02,100
ARTL,$1.68,0.04,14607
ARTLW,$0.0568,-177,3992
ARTNA,$55.40,0.43,16349
ARTW,$2.63,0.01,10057
ARVL,$1.91,0.20,481043
ARVN,$25.30,1.79,717078
ARW,$119.64,0.47,541666
ARWR,$41.38,1.33,1526245
ARYD,$10.50,0.00,184
ARYE,$10.26,0.00,200
ASA,$17.53,-0.13,57196
ASAI,$10.61,-0.90,827639
ASAN,$16.25,0.37,1439596
ASB,$15.78,0.64,2329367
ASB^E,$16.09,0.62,41691
ASB^F,$15.90,0.38,40404
ASBA,$20.17,0.56,61315
